product_name,product_price,product_quantity,date_updated,brand_name
Bagel - Whole White Sesame,$4.30,97,11/01/2018,Einstein's
Sauce - Caesar Dressing,$8.25,16,04/10/2019,Kraft
Shiratamako - Rice Flour,$7.99,71,03/07/2018,Bob's Red Mill
Tart - Raisin And Pecan,$1.06,86,01/18/2019,Delish
Radish,$2.47,22,11/06/2018,Kroger
Juice - V8 Splash,$1.15,67,01/13/2018,V8
Red Currants,$6.77,49,10/01/2018,Kroger
Soup - Base Broth Beef,$5.44,62,03/09/2019,Campbell's
Tomatoes Tear Drop Yellow,$0.64,73,02/09/2019,Kroger
Mussels - Cultivated,$9.34,24,07/31/2018,Kroger
"Bread - Crumbs, Bulk",$4.49,88,01/12/2019,Kikkoman
"Beans - Long, Chinese",$4.73,47,09/22/2018,Del Monte
"Beans - Navy, Dry",$4.60,44,01/20/2018,Del Monte
"Basil - Dry, Rubbed",$8.69,21,02/04/2018,Kroger
Apple - Granny Smith,$5.06,72,01/12/2018,Kroger
"Lid - High Heat, Super Clear",$1.23,5,02/09/2018,Farberware
Oranges - Navel,$4.78,46,06/06/2018,Kroger
Berry Brulee,$7.59,50,08/25/2018,Kroger
Lobster - Canned Premium,$7.61,57,04/15/2018,Kroger
Ham - Procutinni,$5.70,8,01/09/2019,Kroger
Veal - Ground,$7.67,5,12/19/2018,Kroger
Oil - Cooking Spray,$4.20,6,06/11/2018,Pam
"Extract - Vanilla,artificial",$2.91,20,06/08/2018,McCormick
"Mushroom - Porcini, Dry",$8.14,71,07/26/2018,Kroger
Wine - Cabernet Sauvignon,$7.41,54,03/10/2018,Chateau Bonnet
